Skill
Python
SQL
MySQL
HTML
CSS
JavaScript
Flask
Django
Git
GitHub
Machine Learning
Deep Learning
Pandas
NumPy
Docker
AWS
Linux
Power BI
Excel
C
C++
Java
React
Node.js
